# debug_ms_timing.txt — NON-OPTIMAL MS (ms_on_tetra) solves only
# Format: [Iter N] scenario=..., simplex_idx=..., verts=..., time=...s, status=..., dual_bound=..., primal_obj=...

[Iter 0] scenario=0, simplex_idx=5, verts=(1, 3, 4, 5), time=0.0205s, status=infeasible, dual_bound=None, primal_obj=-2576070168.7349443
[Iter 0] scenario=0, simplex_idx=6, verts=(3, 4, 7, 8), time=15.0162s, status=time_limit, dual_bound=-1.2943473595369506, primal_obj=-1.2943473595369506
[Iter 0] scenario=1, simplex_idx=6, verts=(3, 4, 7, 8), time=15.0092s, status=time_limit, dual_bound=-1.5306623921618434, primal_obj=-1.5306623921618434
[Iter 0] scenario=2, simplex_idx=6, verts=(3, 4, 7, 8), time=15.0113s, status=time_limit, dual_bound=-1.473694401870545, primal_obj=-1.4736944018705447
[Iter 0] scenario=3, simplex_idx=6, verts=(3, 4, 7, 8), time=15.0149s, status=time_limit, dual_bound=-0.8560323945310946, primal_obj=-0.8560323945310941
[Iter 0] scenario=4, simplex_idx=6, verts=(3, 4, 7, 8), time=15.0103s, status=time_limit, dual_bound=-1.3229126646845197, primal_obj=-1.3229126646845195
[Iter 0] scenario=6, simplex_idx=6, verts=(3, 4, 7, 8), time=15.0608s, status=time_limit, dual_bound=-1.2683007975766434, primal_obj=-1.268300797576643
[Iter 0] scenario=7, simplex_idx=6, verts=(3, 4, 7, 8), time=15.0216s, status=time_limit, dual_bound=-1.5011325401670705, primal_obj=-1.5011325401670705
[Iter 0] scenario=8, simplex_idx=6, verts=(3, 4, 7, 8), time=15.0106s, status=time_limit, dual_bound=-1.0776309141998206, primal_obj=-1.0776309141998204
[Iter 0] scenario=9, simplex_idx=6, verts=(3, 4, 7, 8), time=15.0105s, status=time_limit, dual_bound=-1.4372952821805391, primal_obj=-1.4372952821805394
