iter,eps,yL,yU,diam,true_min,min_relax,hausdorff_error,argmin_y,ms1,ms2,c1,c2,Q1_a,Q1_b,Q1_c,Q2_a,Q2_b,Q2_c
0,1.0,-1.0,1.0,2.0,-0.5,-1.5,1.0,0.0,-1.4932499681208355e-14,0.0,-0.5,-1.0,5.4360939793168694e-14,1.203175262203986e-16,-0.5000000000000395,1.0,-1.3302162387081575e-17,-1.0
1,0.5,-0.5,0.5,1.0,-0.5,-1.0,0.5,0.0,-9.601486869441836e-18,0.0,0.0,-1.0,1.9712750208991607e-16,-3.16615251564413e-17,-5.551115123125783e-17,2.0,4.197527909424867e-18,-1.0
2,0.25,-0.25,0.25,0.5,-0.5,-0.75,0.25,0.0,0.0,0.0,0.25,-1.0,1.354308456066155e-17,1.1682987095521115e-17,0.25,3.999999999999999,4.976893095446471e-18,-1.0
3,0.125,-0.125,0.125,0.25,-0.5,-0.625,0.125,0.0,0.0,0.0,0.375,-1.0,4.153969683913217e-17,-9.724024072562496e-17,0.375,7.999999999999998,1.5732946940136599e-18,-1.0
4,0.0625,-0.0625,0.0625,0.125,-0.5,-0.5625,0.0625,0.0,0.0,0.0,0.4375,-1.0,0.0,-2.4245006086826273e-16,0.4375,16.00000000000001,-1.327248733008854e-18,-1.0
5,0.03125,-0.03125,0.03125,0.0625,-0.5,-0.53125,0.03125,0.0,0.0,0.0,0.46875,-1.0,7.864038777974214e-18,8.388682079500973e-16,0.46875,32.00000000000004,-1.9220108415964797e-18,-1.0
6,0.015625,-0.015625,0.015625,0.03125,-0.5,-0.515625,0.015625,-0.0009375000000000008,0.0,0.0,0.484375,-1.0,7.023594077822296e-18,-4.35986762148484e-16,0.484375,64.2351460150958,1.9057050057986936e-19,-1.0000574086950917
7,0.0078125,-0.0078125,0.0078125,0.015625,-0.5,-0.5078125,0.0078125,-0.0004687500000000004,0.0,1.1102230246251565e-16,0.4921875,-1.0,0.0,-9.601225134242447e-16,0.4921875,128.47029283062747,5.98932109619375e-19,-1.0000287043964007
8,0.00390625,-0.00390625,0.00390625,0.0078125,-0.5,-0.50390625,0.00390625,-0.0003567708333333335,0.0,0.0,0.49609375,-1.0,0.0,7.443539754806289e-16,0.49609375,258.15832962903045,4.2707289478806536e-19,-1.0000329334965368
9,0.001953125,-0.001953125,0.001953125,0.00390625,-0.5,-0.501953125,0.001953125,-0.00021223958333333338,0.0,0.0,0.498046875,-1.0,1.481877523713879e-19,-2.169959082254646e-15,0.498046875,518.1466115033376,-1.7841642370741228e-19,-1.0000234474620946
10,0.0009765625,-0.0009765625,0.0009765625,0.001953125,-0.5,-0.5009765625,0.0009765625,-0.00010611979166666669,0.0,0.0,0.4990234375,-1.0,0.0,-7.586551559393404e-15,0.4990234375,1036.2932230071349,3.0098017151767867e-15,-1.0000117237310477
11,0.00048828125,-0.00048828125,0.00048828125,0.0009765625,-0.5,-0.50048828125,0.00048828125,-5.3059895833333344e-05,0.0,0.0,0.49951171875,-1.0,3.114257458038539e-20,5.012449671874994e-14,0.49951171875,2072.586446015358,-4.630207583319731e-19,-1.000005861865524
12,0.000244140625,-0.000244140625,0.000244140625,0.00048828125,-0.5,-0.500244140625,0.000244140625,-2.6529947916666672e-05,0.0,1.1102230246251565e-16,0.499755859375,-1.0,1.961187717461176e-20,-2.354457355749492e-16,0.499755859375,4145.172891972799,1.2148257309665325e-14,-1.0000029309327587
13,0.0001220703125,-0.0001220703125,0.0001220703125,0.000244140625,-0.5,-0.5001220703125,0.0001220703125,-1.3264973958333336e-05,0.0,-1.1102230246251565e-16,0.4998779296875,-1.0,0.0,2.07945210027168e-13,0.4998779296875,8290.345784063813,-3.4803231246073945e-19,-1.000001465466381
14,6.103515625e-05,-6.103515625e-05,6.103515625e-05,0.0001220703125,-0.5,-0.50006103515625,6.103515625e-05,-6.632486979166668e-06,0.0,-1.1102230246251565e-16,0.49993896484375,-1.0,0.0,-5.335992926519286e-17,0.49993896484375,16580.6915681037,5.1574034791321414e-14,-1.0000007327331903
15,3.0517578125e-05,-3.0517578125e-05,3.0517578125e-05,6.103515625e-05,-0.5,-0.500030517578125,3.0517578125e-05,-3.316243489583334e-06,0.0,0.0,0.499969482421875,-1.0,1.898691036456415e-21,8.319405843868283e-13,0.499969482421875,33161.3831362133,1.0625302223258516e-18,-1.0000003663665953
