Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever
13175.550,73,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
13241.563,74,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
13308.899,75,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
13376.634,76,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
13445.145,77,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
13512.143,78,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
13578.589,79,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
13644.573,80,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
13706.331,81,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
13768.820,82,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
13831.602,83,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
13891.506,84,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
13951.782,85,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
14011.565,86,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
14071.039,87,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
14129.314,88,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
14198.117,89,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
14266.690,90,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
14333.677,91,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
14401.959,92,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
14469.346,93,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
14539.180,94,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
14609.309,95,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
14678.413,96,0.979201071,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
14746.489,97,0.979201059,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
14815.337,98,0.979201044,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
14879.581,99,0.979201036,0.979664243,0.0473%,0.00046,0.979235593,0.979664243
