# debug_ms_timing.txt — NON-OPTIMAL MS (ms_on_tetra) solves only
# Format: [Iter N] scenario=..., simplex_idx=..., verts=..., time=...s, status=..., dual_bound=..., primal_obj=...

[Iter 503] scenario=15, simplex_idx=981, verts=(1, 8, 462, 511), time=0.1918s, status=infeasible, dual_bound=None, primal_obj=-119021024.82249193
[Iter 519] scenario=15, simplex_idx=1009, verts=(1, 8, 511, 527), time=0.1665s, status=infeasible, dual_bound=None, primal_obj=-0.00027895869348038005
[Iter 551] scenario=9, simplex_idx=1079, verts=(1, 8, 527, 559), time=0.1434s, status=infeasible, dual_bound=None, primal_obj=-13174151.865989003
[Iter 551] scenario=15, simplex_idx=1079, verts=(1, 8, 527, 559), time=0.1643s, status=infeasible, dual_bound=None, primal_obj=-71769690.71174298
[Iter 552] scenario=15, simplex_idx=1079, verts=(1, 8, 15, 560), time=0.1761s, status=infeasible, dual_bound=None, primal_obj=-0.00013296175306387603
[Iter 552] scenario=9, simplex_idx=1080, verts=(1, 8, 10, 560), time=0.1655s, status=infeasible, dual_bound=None, primal_obj=-30579.676499186433
[Iter 552] scenario=15, simplex_idx=1080, verts=(1, 8, 10, 560), time=0.1639s, status=infeasible, dual_bound=None, primal_obj=-0.000198691608795043
[Iter 581] scenario=9, simplex_idx=1144, verts=(1, 8, 559, 589), time=0.1435s, status=infeasible, dual_bound=None, primal_obj=-13339024.64579751
[Iter 581] scenario=15, simplex_idx=1144, verts=(1, 8, 559, 589), time=0.1543s, status=infeasible, dual_bound=None, primal_obj=-72397811.35733931
[Iter 582] scenario=9, simplex_idx=1145, verts=(1, 8, 589, 590), time=0.1541s, status=infeasible, dual_bound=None, primal_obj=-13153496.1997755
[Iter 582] scenario=15, simplex_idx=1145, verts=(1, 8, 589, 590), time=0.1523s, status=infeasible, dual_bound=None, primal_obj=-72242439.26297441
[Iter 596] scenario=15, simplex_idx=1174, verts=(1, 8, 591, 604), time=0.1638s, status=infeasible, dual_bound=None, primal_obj=-72170337.79605499
[Iter 600] scenario=9, simplex_idx=1185, verts=(1, 8, 604, 608), time=0.1491s, status=infeasible, dual_bound=None, primal_obj=-8.704435106177133e-05
[Iter 600] scenario=15, simplex_idx=1185, verts=(1, 8, 604, 608), time=0.1569s, status=infeasible, dual_bound=None, primal_obj=-5.4300197168011266e-05
[Iter 610] scenario=9, simplex_idx=1208, verts=(1, 8, 616, 618), time=0.1436s, status=infeasible, dual_bound=None, primal_obj=-451554.53969802853
[Iter 610] scenario=15, simplex_idx=1208, verts=(1, 8, 616, 618), time=0.1847s, status=infeasible, dual_bound=None, primal_obj=-155819.26197419324
[Iter 611] scenario=15, simplex_idx=1211, verts=(1, 8, 618, 619), time=0.1654s, status=infeasible, dual_bound=None, primal_obj=-0.00011344731806661734
[Iter 613] scenario=15, simplex_idx=1215, verts=(1, 8, 619, 621), time=0.1560s, status=infeasible, dual_bound=None, primal_obj=-71952816.6167052
[Iter 619] scenario=9, simplex_idx=1230, verts=(1, 8, 626, 627), time=0.1486s, status=infeasible, dual_bound=None, primal_obj=-682207.2572486317
[Iter 619] scenario=15, simplex_idx=1230, verts=(1, 8, 626, 627), time=0.1696s, status=infeasible, dual_bound=None, primal_obj=-317049.914770562
[Iter 620] scenario=9, simplex_idx=1233, verts=(1, 8, 627, 628), time=0.1817s, status=infeasible, dual_bound=None, primal_obj=-723082.5327026825
[Iter 620] scenario=15, simplex_idx=1233, verts=(1, 8, 627, 628), time=0.1643s, status=infeasible, dual_bound=None, primal_obj=-0.0001181019546316886
[Iter 621] scenario=9, simplex_idx=1236, verts=(1, 8, 628, 629), time=0.1483s, status=infeasible, dual_bound=None, primal_obj=-712253.6188967499
[Iter 621] scenario=15, simplex_idx=1236, verts=(1, 8, 628, 629), time=0.1710s, status=infeasible, dual_bound=None, primal_obj=-0.00011810125816524852
[Iter 622] scenario=15, simplex_idx=1239, verts=(1, 8, 629, 630), time=0.1617s, status=infeasible, dual_bound=None, primal_obj=-329584.7400632143
[Iter 623] scenario=9, simplex_idx=1241, verts=(1, 8, 630, 631), time=0.1487s, status=infeasible, dual_bound=None, primal_obj=-720075.7406080107
[Iter 623] scenario=15, simplex_idx=1241, verts=(1, 8, 630, 631), time=0.1759s, status=infeasible, dual_bound=None, primal_obj=-0.00010457669939167857
[Iter 625] scenario=9, simplex_idx=1245, verts=(1, 8, 631, 633), time=0.1470s, status=infeasible, dual_bound=None, primal_obj=-736760.7826705232
[Iter 625] scenario=15, simplex_idx=1245, verts=(1, 8, 631, 633), time=0.1680s, status=infeasible, dual_bound=None, primal_obj=-0.00011131624856730582
[Iter 626] scenario=9, simplex_idx=1248, verts=(1, 8, 633, 634), time=0.1475s, status=infeasible, dual_bound=None, primal_obj=-1334334.7255149444
[Iter 626] scenario=15, simplex_idx=1248, verts=(1, 8, 633, 634), time=0.1588s, status=infeasible, dual_bound=None, primal_obj=-0.0002790868855775397
[Iter 627] scenario=9, simplex_idx=1251, verts=(1, 8, 634, 635), time=0.1540s, status=infeasible, dual_bound=None, primal_obj=-979318.4280874766
[Iter 627] scenario=15, simplex_idx=1251, verts=(1, 8, 634, 635), time=0.1640s, status=infeasible, dual_bound=None, primal_obj=-373348.47727459646
[Iter 628] scenario=15, simplex_idx=1254, verts=(1, 8, 635, 636), time=0.1701s, status=infeasible, dual_bound=None, primal_obj=-379387.05543305224
[Iter 629] scenario=9, simplex_idx=1257, verts=(1, 8, 636, 637), time=0.1506s, status=infeasible, dual_bound=None, primal_obj=-1125443.02826935
[Iter 629] scenario=15, simplex_idx=1257, verts=(1, 8, 636, 637), time=0.1627s, status=infeasible, dual_bound=None, primal_obj=-382713.0082857815
[Iter 630] scenario=15, simplex_idx=1260, verts=(1, 8, 637, 638), time=0.1586s, status=infeasible, dual_bound=None, primal_obj=-0.00011181668138293688
[Iter 634] scenario=9, simplex_idx=1269, verts=(1, 8, 640, 642), time=0.1407s, status=infeasible, dual_bound=None, primal_obj=-1432768.309645014
[Iter 634] scenario=15, simplex_idx=1269, verts=(1, 8, 640, 642), time=0.1620s, status=infeasible, dual_bound=None, primal_obj=-436943.28466584964
[Iter 635] scenario=15, simplex_idx=1272, verts=(1, 8, 642, 643), time=0.1643s, status=infeasible, dual_bound=None, primal_obj=-0.0001152051431909662
[Iter 637] scenario=9, simplex_idx=1277, verts=(1, 8, 644, 645), time=0.1403s, status=infeasible, dual_bound=None, primal_obj=-1897465.7009663747
[Iter 637] scenario=15, simplex_idx=1277, verts=(1, 8, 644, 645), time=0.1636s, status=infeasible, dual_bound=None, primal_obj=-508192.7314855296
[Iter 638] scenario=15, simplex_idx=1280, verts=(1, 8, 645, 646), time=0.1602s, status=infeasible, dual_bound=None, primal_obj=-516682.63006840926
[Iter 639] scenario=9, simplex_idx=1283, verts=(1, 8, 646, 647), time=0.1473s, status=infeasible, dual_bound=None, primal_obj=-2150559.548617295
[Iter 639] scenario=15, simplex_idx=1283, verts=(1, 8, 646, 647), time=0.1644s, status=infeasible, dual_bound=None, primal_obj=-534338.7963324682
[Iter 640] scenario=15, simplex_idx=1286, verts=(1, 8, 647, 648), time=0.1671s, status=infeasible, dual_bound=None, primal_obj=-0.0001172921119589887
[Iter 641] scenario=9, simplex_idx=1289, verts=(1, 8, 648, 649), time=0.1421s, status=infeasible, dual_bound=None, primal_obj=-2635386.9173574466
[Iter 641] scenario=15, simplex_idx=1289, verts=(1, 8, 648, 649), time=0.1646s, status=infeasible, dual_bound=None, primal_obj=-609417.307542428
[Iter 642] scenario=15, simplex_idx=1292, verts=(1, 8, 649, 650), time=0.1653s, status=infeasible, dual_bound=None, primal_obj=-0.00011782689065165108
[Iter 644] scenario=9, simplex_idx=1298, verts=(1, 8, 650, 652), time=0.1491s, status=infeasible, dual_bound=None, primal_obj=-3216672.4096529633
[Iter 644] scenario=15, simplex_idx=1298, verts=(1, 8, 650, 652), time=0.1677s, status=infeasible, dual_bound=None, primal_obj=-698598.4661391149
[Iter 645] scenario=15, simplex_idx=1300, verts=(1, 8, 652, 653), time=0.1635s, status=infeasible, dual_bound=None, primal_obj=-71440198.55773923
[Iter 649] scenario=15, simplex_idx=1308, verts=(1, 8, 653, 657), time=0.1562s, status=infeasible, dual_bound=None, primal_obj=-57979.06746457223
[Iter 650] scenario=9, simplex_idx=1311, verts=(1, 8, 657, 658), time=0.1583s, status=infeasible, dual_bound=None, primal_obj=-9606880.980222145
[Iter 650] scenario=15, simplex_idx=1311, verts=(1, 8, 657, 658), time=0.1739s, status=infeasible, dual_bound=None, primal_obj=-0.0001179968276545651
[Iter 651] scenario=9, simplex_idx=1314, verts=(1, 8, 658, 659), time=0.1410s, status=infeasible, dual_bound=None, primal_obj=-10340984.028775802
[Iter 651] scenario=15, simplex_idx=1314, verts=(1, 8, 658, 659), time=0.1810s, status=infeasible, dual_bound=None, primal_obj=-0.0001180228083332846
[Iter 652] scenario=9, simplex_idx=1317, verts=(1, 8, 659, 660), time=0.1640s, status=infeasible, dual_bound=None, primal_obj=-11212649.856320024
[Iter 652] scenario=15, simplex_idx=1317, verts=(1, 8, 659, 660), time=0.1592s, status=infeasible, dual_bound=None, primal_obj=-699340.4754464335
[Iter 653] scenario=9, simplex_idx=1320, verts=(1, 8, 660, 661), time=0.1460s, status=infeasible, dual_bound=None, primal_obj=-12087668.909117544
[Iter 653] scenario=15, simplex_idx=1320, verts=(1, 8, 660, 661), time=0.1781s, status=infeasible, dual_bound=None, primal_obj=-147915.04509045545
[Iter 654] scenario=15, simplex_idx=1323, verts=(1, 8, 661, 662), time=0.1602s, status=infeasible, dual_bound=None, primal_obj=-280571.52948567766
[Iter 656] scenario=9, simplex_idx=1329, verts=(1, 8, 662, 664), time=0.1559s, status=infeasible, dual_bound=None, primal_obj=-44714992.11608491
[Iter 656] scenario=15, simplex_idx=1329, verts=(1, 8, 662, 664), time=0.1581s, status=infeasible, dual_bound=None, primal_obj=-498241.34645881376
[Iter 657] scenario=9, simplex_idx=1332, verts=(1, 8, 664, 665), time=0.1526s, status=infeasible, dual_bound=None, primal_obj=-16508455.656879276
[Iter 657] scenario=15, simplex_idx=1332, verts=(1, 8, 664, 665), time=0.1677s, status=infeasible, dual_bound=None, primal_obj=-112343.10997884124
[Iter 658] scenario=9, simplex_idx=1335, verts=(1, 8, 665, 666), time=0.1538s, status=infeasible, dual_bound=None, primal_obj=-17996482.98967474
[Iter 658] scenario=15, simplex_idx=1335, verts=(1, 8, 665, 666), time=0.1637s, status=infeasible, dual_bound=None, primal_obj=-802482.9023572226
[Iter 659] scenario=15, simplex_idx=1338, verts=(1, 8, 666, 667), time=0.1634s, status=infeasible, dual_bound=None, primal_obj=-1738733.898420859
[Iter 660] scenario=9, simplex_idx=1341, verts=(1, 8, 667, 668), time=0.1598s, status=infeasible, dual_bound=None, primal_obj=-21791754.332269844
[Iter 660] scenario=15, simplex_idx=1341, verts=(1, 8, 667, 668), time=0.1666s, status=infeasible, dual_bound=None, primal_obj=-2031683.3937156552
[Iter 661] scenario=15, simplex_idx=1344, verts=(1, 8, 668, 669), time=0.1596s, status=infeasible, dual_bound=None, primal_obj=-2969086.667672701
[Iter 662] scenario=15, simplex_idx=1347, verts=(1, 8, 669, 670), time=0.1763s, status=infeasible, dual_bound=None, primal_obj=-3899602.6614335873
[Iter 663] scenario=15, simplex_idx=1350, verts=(1, 8, 670, 671), time=0.1564s, status=infeasible, dual_bound=None, primal_obj=-156305890.20004398
[Iter 665] scenario=15, simplex_idx=1353, verts=(1, 8, 671, 673), time=0.1678s, status=infeasible, dual_bound=None, primal_obj=-31763264.748730596
[Iter 677] scenario=8, simplex_idx=1383, verts=(1, 583, 620, 685), time=0.1559s, status=infeasible, dual_bound=None, primal_obj=-18017756.849640176
