# debug_timelimit.txt — subproblems that hit Gurobi TimeLimit
# Format: [Iter N] [MS/CS TimeLimit] simplex_idx=..., verts=..., scenario=..., dual_bound=..., primal_obj=..., dual<primal=...

[Iter 0] [CS TimeLimit] simplex_idx=1, verts=(0, 1, 3, 4), scenario=17, dual_bound=0.9541071460991356, primal_obj=0.9541071460991355, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=1, verts=(0, 1, 3, 4), scenario=19, dual_bound=0.9482655084631624, primal_obj=0.9482655084631623, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=0, dual_bound=1.014797031206427, primal_obj=1.0147970294715891, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=1, dual_bound=0.9470722385185824, primal_obj=0.9470722385185822, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=2, dual_bound=1.020130911421365, primal_obj=1.020130911421365, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=3, dual_bound=1.068732991181923, primal_obj=1.068732991181923, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=4, dual_bound=0.9727181897654247, primal_obj=0.9727181897654245, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=5, dual_bound=0.9432428031221451, primal_obj=0.943242803122145, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=6, dual_bound=1.3179538504285417, primal_obj=1.3179538504285417, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=7, dual_bound=0.9487573359077199, primal_obj=0.9487573359077198, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=8, dual_bound=1.026777549214506, primal_obj=1.0267775492145057, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=9, dual_bound=0.9590792807478977, primal_obj=0.9590792807478978, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=10, dual_bound=0.9982775489755087, primal_obj=0.9982775489755087, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=11, dual_bound=1.043490883871472, primal_obj=1.043490883871472, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=12, dual_bound=0.9536077501516935, primal_obj=0.9536077501516935, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=13, dual_bound=0.9777695994641084, primal_obj=0.9777695994641085, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=14, dual_bound=0.9990738025997352, primal_obj=0.9990738025997351, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=15, dual_bound=1.0942578521966997, primal_obj=1.0942578521966995, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=16, dual_bound=0.9575348310700627, primal_obj=0.957534831070063, dual<primal=True
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=17, dual_bound=0.9582477117272976, primal_obj=0.9582477117272973, dual<primal=False
[Iter 0] [CS TimeLimit] simplex_idx=2, verts=(3, 4, 5, 7), scenario=18, dual_bound=0.9408916418181439, primal_obj=0.9408916418181439, dual<primal=False
