# debug_cs_timing.txt — NON-OPTIMAL c_s (Q-value) solves only
# Format: [Iter N] scenario=..., simplex_idx=..., verts=..., time=...s, status=..., dual_bound=..., primal_obj=...

[Iter 0] scenario=0, simplex_idx=2, verts=(3, 4, 5, 7), time=3.1051s, status=time_limit, dual_bound=1.014797031206427, primal_obj=1.0147970294715891
[Iter 0] scenario=1, simplex_idx=2, verts=(3, 4, 5, 7), time=3.1549s, status=time_limit, dual_bound=0.9470722385185824, primal_obj=0.9470722385185822
[Iter 0] scenario=2, simplex_idx=2, verts=(3, 4, 5, 7), time=3.1851s, status=time_limit, dual_bound=1.020130911421365, primal_obj=1.020130911421365
[Iter 0] scenario=3, simplex_idx=2, verts=(3, 4, 5, 7), time=3.3657s, status=time_limit, dual_bound=1.068732991181923, primal_obj=1.068732991181923
[Iter 0] scenario=4, simplex_idx=2, verts=(3, 4, 5, 7), time=3.0228s, status=time_limit, dual_bound=0.9727181897654247, primal_obj=0.9727181897654245
[Iter 0] scenario=5, simplex_idx=2, verts=(3, 4, 5, 7), time=3.9952s, status=time_limit, dual_bound=0.9432428031221451, primal_obj=0.943242803122145
[Iter 0] scenario=6, simplex_idx=2, verts=(3, 4, 5, 7), time=4.4829s, status=time_limit, dual_bound=1.3179538504285417, primal_obj=1.3179538504285417
[Iter 0] scenario=7, simplex_idx=2, verts=(3, 4, 5, 7), time=3.0708s, status=time_limit, dual_bound=0.9487573359077199, primal_obj=0.9487573359077198
[Iter 0] scenario=8, simplex_idx=2, verts=(3, 4, 5, 7), time=3.0317s, status=time_limit, dual_bound=1.026777549214506, primal_obj=1.0267775492145057
[Iter 0] scenario=9, simplex_idx=2, verts=(3, 4, 5, 7), time=3.5608s, status=time_limit, dual_bound=0.9590792807478977, primal_obj=0.9590792807478978
[Iter 0] scenario=10, simplex_idx=2, verts=(3, 4, 5, 7), time=3.8713s, status=time_limit, dual_bound=0.9982775489755087, primal_obj=0.9982775489755087
[Iter 0] scenario=11, simplex_idx=2, verts=(3, 4, 5, 7), time=3.1951s, status=time_limit, dual_bound=1.043490883871472, primal_obj=1.043490883871472
[Iter 0] scenario=12, simplex_idx=2, verts=(3, 4, 5, 7), time=3.6276s, status=time_limit, dual_bound=0.9536077501516935, primal_obj=0.9536077501516935
[Iter 0] scenario=13, simplex_idx=2, verts=(3, 4, 5, 7), time=3.1182s, status=time_limit, dual_bound=0.9777695994641084, primal_obj=0.9777695994641085
