Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
135.175,1, ,* L  ,0.97347724,inf,inf%,inf,2
279.529,2, , ,0.97347724,inf,inf%,inf,3
392.14,3, ,* L U,0.97476548,0.98791666,1.3312%,0.013151,4
538.884,4, , ,0.97476548,0.98791666,1.3312%,0.013151,5
706.523,5, ,* L  ,0.97518025,0.98791666,1.2892%,0.012736,6
846.697,6, ,* U  ,0.97518025,0.98159276,0.6533%,0.006413,7
1059.225,7, ,* L  ,0.97518936,0.98159276,0.6523%,0.006403,8
1239.963,8, , ,0.97518936,0.98159276,0.6523%,0.006403,9
1417.349,9, ,* L U,0.97518936,0.98093904,0.5861%,0.00575,10
1596.966,10, , ,0.97518936,0.98093904,0.5861%,0.00575,11
1752.664,11, ,* L U,0.97518936,0.98093904,0.5861%,0.00575,12
1867.807,12, , ,0.97518936,0.98093904,0.5861%,0.00575,13
1911.724,13,Bound,* L  ,0.97518936,0.98093904,0.5861%,0.00575,12
2048.878,14, , ,0.97518936,0.98093904,0.5861%,0.00575,13
2193.016,15, ,* L  ,0.97518936,0.98093904,0.5861%,0.00575,14
2320.21,16, ,* U  ,0.97518936,0.98046673,0.5383%,0.005277,15
2369.519,17,Bound,* L  ,0.97518936,0.98046673,0.5383%,0.005277,14
2397.036,18, ,* U  ,0.97518936,0.98046672,0.5383%,0.005277,15
2459.346,19, ,* L U,0.97524235,0.979745,0.4596%,0.004503,16
2630.253,20, , ,0.97524235,0.979745,0.4596%,0.004503,17
2831.14,21, ,* L  ,0.97530106,0.979745,0.4536%,0.004444,18
3049.746,22, , ,0.97530106,0.979745,0.4536%,0.004444,19
3249.998,23, ,* L  ,0.97535612,0.979745,0.448%,0.004389,20
3373.958,24, , ,0.97535612,0.979745,0.448%,0.004389,21
3517.495,25, ,* L  ,0.97535612,0.979745,0.448%,0.004389,22
3582.976,26, , ,0.97535612,0.979745,0.448%,0.004389,23
3798.801,27, ,* L  ,0.97535612,0.979745,0.448%,0.004389,24
3860.828,28, , ,0.97535612,0.979745,0.448%,0.004389,25
4177.428,29, ,* L  ,0.97537346,0.979745,0.4462%,0.004372,26
4284.858,30, , ,0.97537346,0.979745,0.4462%,0.004372,27
4354.315,31,Bound,* L  ,0.97539945,0.979745,0.4435%,0.004346,26
4443.972,32, , ,0.97539945,0.979745,0.4435%,0.004346,27
4658.903,33, ,* L  ,0.97543977,0.979745,0.4394%,0.004305,28
4713.491,34, , ,0.97543977,0.979745,0.4394%,0.004305,29
4783.933,35,Bound,* L  ,0.97554509,0.979745,0.4287%,0.0042,28
4985.153,36, , ,0.97554509,0.979745,0.4287%,0.0042,29
5061.113,37, ,* L  ,0.97554716,0.979745,0.4285%,0.004198,30
5355.281,38, , ,0.97554716,0.979745,0.4285%,0.004198,31
5459.425,39, ,* L  ,0.97556768,0.979745,0.4264%,0.004177,32
5500.314,40, , ,0.97556768,0.979745,0.4264%,0.004177,33
5555.94,41, ,* L  ,0.97563608,0.979745,0.4194%,0.004109,34
5668.103,42, , ,0.97563608,0.979745,0.4194%,0.004109,35
5889.912,43, ,* L  ,0.97571134,0.979745,0.4117%,0.004034,36
5974.65,44, , ,0.97571134,0.979745,0.4117%,0.004034,37
6399.869,45, ,* L  ,0.97595374,0.979745,0.387%,0.003791,38
6449.063,46, , ,0.97595374,0.979745,0.387%,0.003791,39
6485.696,47, ,* L  ,0.97600679,0.979745,0.3815%,0.003738,40
6517.488,48,Bound, ,0.97600679,0.979745,0.3815%,0.003738,39
6545.569,49, ,* L  ,0.97606798,0.979745,0.3753%,0.003677,40
6591.915,50,Bound, ,0.97606798,0.979745,0.3753%,0.003677,39
6734.731,51, ,* L  ,0.97607894,0.979745,0.3742%,0.003666,40
6774.655,52, , ,0.97607894,0.979745,0.3742%,0.003666,41
6816.26,53, ,* L  ,0.97610813,0.979745,0.3712%,0.003637,42
7032.063,54, , ,0.97610813,0.979745,0.3712%,0.003637,43
7608.309,55, ,* L  ,0.9761207,0.979745,0.3699%,0.003624,44
7657.572,56, , ,0.9761207,0.979745,0.3699%,0.003624,45
7705.802,57, ,* L U,0.97612411,0.97974238,0.3693%,0.003618,46
8344.311,58, , ,0.97612411,0.97974238,0.3693%,0.003618,47
8385.875,59,Bound,* L  ,0.97612533,0.97974238,0.3692%,0.003617,46
8635.115,60,Bound, ,0.97612533,0.97974238,0.3692%,0.003617,45
9243.907,61,Bound,* L  ,0.97614283,0.97974238,0.3674%,0.0036,44
9278.517,62, , ,0.97614283,0.97974238,0.3674%,0.0036,45
9309.167,63, ,* L  ,0.97615844,0.97974238,0.3658%,0.003584,46
9342.519,64, , ,0.97615844,0.97974238,0.3658%,0.003584,47
9396.794,65, ,* L  ,0.97617519,0.97974238,0.3641%,0.003567,48
9441.233,66, , ,0.97617519,0.97974238,0.3641%,0.003567,49
9482.91,67, ,* L  ,0.97617873,0.97974238,0.3637%,0.003564,50
9523.039,68, , ,0.97617873,0.97974238,0.3637%,0.003564,51
9557.907,69, ,* L  ,0.9761801,0.97974238,0.3636%,0.003562,52
9607.314,70, , ,0.9761801,0.97974238,0.3636%,0.003562,53
9657.499,71, ,* L  ,0.9761977,0.97974238,0.3618%,0.003545,54
9715.688,72, ,* U  ,0.9761977,0.97969787,0.3573%,0.0035,55
9770.148,73, ,* L  ,0.97620315,0.97969787,0.3567%,0.003495,56
9823.762,74, , ,0.97620315,0.97969787,0.3567%,0.003495,57
9868.632,75, ,* L  ,0.97621847,0.97969787,0.3552%,0.003479,58
9922.51,76, , ,0.97621847,0.97969787,0.3552%,0.003479,59
9969.439,77, ,* L  ,0.97627582,0.97969787,0.3493%,0.003422,60
10115.9,78, , ,0.97627582,0.97969787,0.3493%,0.003422,61
10191.826,79, ,* L  ,0.97628377,0.97969787,0.3485%,0.003414,62
10263.4,80, , ,0.97628377,0.97969787,0.3485%,0.003414,63
10315.163,81, ,* L  ,0.97635355,0.97969787,0.3414%,0.003344,64
10444.488,82, , ,0.97635355,0.97969787,0.3414%,0.003344,65
10502.058,83, ,* L  ,0.97638647,0.97969787,0.338%,0.003311,66
10549.553,84, , ,0.97638647,0.97969787,0.338%,0.003311,67
10600.599,85, ,* L  ,0.97642043,0.97969787,0.3345%,0.003277,68
10659.079,86, , ,0.97642043,0.97969787,0.3345%,0.003277,69
10702.872,87, ,* L  ,0.97643323,0.97969787,0.3332%,0.003265,70
10749.781,88, , ,0.97643323,0.97969787,0.3332%,0.003265,71
10795.411,89, ,* L  ,0.97643674,0.97969787,0.3329%,0.003261,72
10844.345,90, , ,0.97643674,0.97969787,0.3329%,0.003261,73
10899.387,91, ,* L  ,0.97644178,0.97969787,0.3324%,0.003256,74
11099.605,92, , ,0.97644178,0.97969787,0.3324%,0.003256,75
11181.395,93,Bound,* L  ,0.97644181,0.97969787,0.3324%,0.003256,74
11233.789,94, , ,0.97644181,0.97969787,0.3324%,0.003256,75
11279.122,95, ,* L  ,0.97644438,0.97969787,0.3321%,0.003253,76
11332.476,96, , ,0.97644438,0.97969787,0.3321%,0.003253,77
11382.422,97, ,* L  ,0.9764561,0.97969787,0.3309%,0.003242,78
11414.56,98, , ,0.9764561,0.97969787,0.3309%,0.003242,79
11447.117,99, ,* L  ,0.97646198,0.97969787,0.3303%,0.003236,80
11480.692,100, , ,0.97646198,0.97969787,0.3303%,0.003236,81
11513.049,101, ,* L  ,0.97646925,0.97969787,0.3296%,0.003229,82
11788.195,102, , ,0.97646925,0.97969787,0.3296%,0.003229,83
11860.987,103, ,* L  ,0.97647488,0.97969787,0.329%,0.003223,84
11893.052,104, , ,0.97647488,0.97969787,0.329%,0.003223,85
11925.103,105, ,* L  ,0.97648695,0.97969787,0.3277%,0.003211,86
11957.199,106, , ,0.97648695,0.97969787,0.3277%,0.003211,87
11989.447,107, ,* L  ,0.97649365,0.97969787,0.3271%,0.003204,88
12021.308,108, , ,0.97649365,0.97969787,0.3271%,0.003204,89
12054.149,109, ,* L  ,0.97649674,0.97969787,0.3267%,0.003201,90
12084.457,110, , ,0.97649674,0.97969787,0.3267%,0.003201,91
12118.737,111, ,* L  ,0.97649906,0.97969787,0.3265%,0.003199,92
12151.279,112, , ,0.97649906,0.97969787,0.3265%,0.003199,93
12185.304,113, ,* L  ,0.97650393,0.97969787,0.326%,0.003194,94
12218.063,114, , ,0.97650393,0.97969787,0.326%,0.003194,95
12249.232,115, ,* L  ,0.97650428,0.97969787,0.326%,0.003194,96
12293.091,116, , ,0.97650428,0.97969787,0.326%,0.003194,97
12337.729,117, ,* L  ,0.97650666,0.97969787,0.3257%,0.003191,98
12381.923,118, , ,0.97650666,0.97969787,0.3257%,0.003191,99
12426.727,119, ,* L  ,0.97651381,0.97969787,0.325%,0.003184,100
12471.53,120, , ,0.97651381,0.97969787,0.325%,0.003184,101
12516.972,121, ,* L  ,0.97651445,0.97969787,0.3249%,0.003183,102
12562.952,122, , ,0.97651445,0.97969787,0.3249%,0.003183,103
12606.9,123, ,* L  ,0.97651676,0.97969787,0.3247%,0.003181,104
12648.984,124, , ,0.97651676,0.97969787,0.3247%,0.003181,105
12690.655,125, ,* L  ,0.97652051,0.97969787,0.3243%,0.003177,106
12733.418,126, , ,0.97652051,0.97969787,0.3243%,0.003177,107
12766.427,127, ,* L  ,0.97652224,0.97969787,0.3241%,0.003176,108
12798.653,128, , ,0.97652224,0.97969787,0.3241%,0.003176,109
12829.595,129, ,* L  ,0.97652576,0.97969787,0.3238%,0.003172,110
12863.395,130, , ,0.97652576,0.97969787,0.3238%,0.003172,111
12896.026,131, ,* L  ,0.97652646,0.97969787,0.3237%,0.003171,112
12928.965,132, , ,0.97652646,0.97969787,0.3237%,0.003171,113
12964.681,133, ,* L  ,0.9765277,0.97969787,0.3236%,0.00317,114
13010.633,134, , ,0.9765277,0.97969787,0.3236%,0.00317,115
13060.522,135, ,* L  ,0.97652891,0.97969787,0.3235%,0.003169,116
