iter,eps,yL,yU,diam,true_min,min_relax,hausdorff_error,argmin_y,ms1,ms2,c1,c2,Q1_a,Q1_b,Q1_c,Q2_a,Q2_b,Q2_c
0,1.0,5.53,7.53,2.0,-59.23361408882082,-61.61563138376975,2.3820172949489304,6.255333333333334,-6.394884621840902e-14,0.0,-14.302871362940273,-58.50773056057865,12.047658879540554,-162.82263745019935,535.2059336702607,7.337540895253912e-12,12.105940313656891,-125.45358049585137
1,0.5,6.03,7.03,1.0,-59.23361408882082,-60.039127397575015,0.8055133087541932,6.3950000000000005,-2.6787461138155777e-12,-8.526512829121202e-14,-14.302871362940273,-51.25999170812604,24.412481184329835,-324.17650640105853,1061.5995465030846,2.2534770933931923e-14,11.935987440700504,-123.2339959755509
2,0.25,6.28,6.78,0.5,-59.23361408882082,-59.54443696181531,0.3108228729944855,6.463,2.2026824808563106e-13,-2.1316282072803006e-14,-14.302871362940273,-47.99426751592356,49.257741217106286,-648.6031504428979,2120.681283564673,0.0,11.894434736861857,-122.691317663416
3,0.125,6.405,6.655,0.25,-59.23361408882082,-59.364864039733746,0.1312499509129239,6.496916666666667,-5.506706202140776e-13,0.0,-14.302871362940273,-46.438709992193594,99.30082207412036,-1302.1791044322608,4254.650256599365,1.8964420727277927e-17,11.884103680269511,-122.55639406431982
4,0.0625,6.4675,6.5925,0.125,-59.23361408882082,-59.292079742416576,0.05846565359575351,6.5136666666666665,3.347366828165832e-11,-1.4210854715202004e-14,-14.302871362940273,-45.678950038654804,198.6208148944111,-2599.3892910968434,8490.338893668319,1.537294899278156e-18,11.881524465476543,-122.52270951912433
5,0.03125,6.49875,6.56125,0.0625,-59.23361408882082,-59.26020324195366,0.02658915313283927,6.5220416666666665,6.188827228470473e-12,0.0,-14.302871362940273,-45.303423134256576,396.99005626734856,-5190.246872255323,16949.995914173935,2.8432340640107184e-18,11.880879883292888,-122.51429127580623
6,0.015625,6.514375,6.545625,0.03125,-59.23361408882082,-59.2465204428577,0.012906354036879009,6.526604166666667,1.4495071809506044e-12,0.0,-14.302871362940273,-45.116729678355554,857.6831943972602,-11207.394834306184,36597.59941880478,8.018861920115435e-20,11.880718751586473,-122.51218689572168
7,0.0078125,6.5221875,6.5378125,0.015625,-59.23361408882082,-59.23852855609074,0.004914467269919953,6.5286510416666665,5.435651928564766e-13,4.6528291619551965e-06,-14.302871362940273,-45.023648206542575,1832.6565110960942,-23941.435438288423,78177.14602058558,1.2638320405324815e-23,11.880261120056415,-122.5089434333397
8,0.00390625,6.52609375,6.53390625,0.0078125,-59.23361408882082,-59.23517817059262,0.001564081771796566,6.529619791666667,5.6985527407960035e-12,4.216656364519622e-06,-14.302871362940273,-44.97717350682058,4133.383739238396,-53990.715404682545,176293.86511780342,0.0,11.874293576133203,-122.46993081634498
9,0.001953125,6.528046875,6.531953125,0.00390625,-59.23361408882082,-59.234241274533844,0.0006271857130215608,6.529950520833333,2.3277380023500882e-11,1.8881192573871886e-06,-14.302871362940273,-44.953952631430326,10137.998775288737,-132414.5546792869,432359.3465796026,7.60111665021289e-26,11.860050731526213,-122.37692163483075
