# debug_cs_timing.txt — NON-OPTIMAL c_s (Q-value) solves only
# Format: [Iter N] scenario=..., simplex_idx=..., verts=..., time=...s, status=..., dual_bound=..., primal_obj=...

[Iter 0] scenario=1, simplex_idx=2, verts=(3, 4, 5, 7), time=3.0936s, status=time_limit, dual_bound=0.9470722385185824, primal_obj=0.9470722385185822
[Iter 0] scenario=2, simplex_idx=2, verts=(3, 4, 5, 7), time=3.1566s, status=time_limit, dual_bound=0.9570395797685824, primal_obj=0.9570395797685826
[Iter 0] scenario=3, simplex_idx=2, verts=(3, 4, 5, 7), time=3.2102s, status=time_limit, dual_bound=1.068732991181923, primal_obj=1.068732991181923
[Iter 0] scenario=4, simplex_idx=2, verts=(3, 4, 5, 7), time=3.0561s, status=time_limit, dual_bound=0.9727181897654247, primal_obj=0.9727181897654245
[Iter 0] scenario=5, simplex_idx=2, verts=(3, 4, 5, 7), time=3.0108s, status=time_limit, dual_bound=0.9432428031221451, primal_obj=0.943242803122145
[Iter 0] scenario=6, simplex_idx=2, verts=(3, 4, 5, 7), time=3.0417s, status=time_limit, dual_bound=1.018053660486728, primal_obj=1.018053660486728
[Iter 0] scenario=7, simplex_idx=2, verts=(3, 4, 5, 7), time=3.3218s, status=time_limit, dual_bound=0.9469858990654473, primal_obj=0.9469858990654474
[Iter 0] scenario=8, simplex_idx=2, verts=(3, 4, 5, 7), time=3.0157s, status=time_limit, dual_bound=1.0263717524502045, primal_obj=1.0263717524502045
[Iter 0] scenario=9, simplex_idx=2, verts=(3, 4, 5, 7), time=3.3858s, status=time_limit, dual_bound=0.9590792797943337, primal_obj=0.9590792797943337
[Iter 0] scenario=10, simplex_idx=2, verts=(3, 4, 5, 7), time=3.1658s, status=time_limit, dual_bound=0.9712161485839741, primal_obj=0.9712161485839742
[Iter 0] scenario=11, simplex_idx=2, verts=(3, 4, 5, 7), time=3.0257s, status=time_limit, dual_bound=1.0434908831333836, primal_obj=1.0434908831333836
[Iter 0] scenario=12, simplex_idx=2, verts=(3, 4, 5, 7), time=3.0570s, status=time_limit, dual_bound=0.9536077501516935, primal_obj=0.9536077501516935
[Iter 0] scenario=13, simplex_idx=2, verts=(3, 4, 5, 7), time=3.3651s, status=time_limit, dual_bound=0.9777695994641084, primal_obj=0.9777695994641085
[Iter 0] scenario=14, simplex_idx=2, verts=(3, 4, 5, 7), time=3.0354s, status=time_limit, dual_bound=0.9990738025997352, primal_obj=0.9990738025997351
[Iter 0] scenario=15, simplex_idx=2, verts=(3, 4, 5, 7), time=3.2484s, status=time_limit, dual_bound=1.0942578521966997, primal_obj=1.0942578521966995
[Iter 0] scenario=16, simplex_idx=2, verts=(3, 4, 5, 7), time=3.0247s, status=time_limit, dual_bound=0.9575348310700627, primal_obj=0.957534831070063
[Iter 0] scenario=17, simplex_idx=2, verts=(3, 4, 5, 7), time=3.2889s, status=time_limit, dual_bound=0.9582477095208006, primal_obj=0.9582477095208008
[Iter 0] scenario=18, simplex_idx=2, verts=(3, 4, 5, 7), time=3.8400s, status=time_limit, dual_bound=0.9408916418181439, primal_obj=0.9408916418181439
[Iter 0] scenario=19, simplex_idx=2, verts=(3, 4, 5, 7), time=3.0218s, status=time_limit, dual_bound=0.9495201278784204, primal_obj=0.9495201278784204
[Iter 0] scenario=0, simplex_idx=3, verts=(3, 4, 6, 7), time=3.4529s, status=time_limit, dual_bound=0.9973765252119483, primal_obj=0.9973765252119484
[Iter 0] scenario=1, simplex_idx=3, verts=(3, 4, 6, 7), time=3.3254s, status=time_limit, dual_bound=0.945925302390501, primal_obj=0.9459253023905012
[Iter 0] scenario=2, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0083s, status=time_limit, dual_bound=0.9562434219662743, primal_obj=0.9562434219662743
[Iter 0] scenario=3, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0128s, status=time_limit, dual_bound=1.0700789655348955, primal_obj=1.070078965534896
[Iter 0] scenario=4, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0132s, status=time_limit, dual_bound=0.969111394288256, primal_obj=0.9691113942882559
[Iter 0] scenario=6, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0086s, status=time_limit, dual_bound=1.0130539300419803, primal_obj=1.0130539300419805
[Iter 0] scenario=8, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0353s, status=time_limit, dual_bound=1.0163403472292267, primal_obj=1.0163403472292265
[Iter 0] scenario=9, simplex_idx=3, verts=(3, 4, 6, 7), time=3.1360s, status=time_limit, dual_bound=0.9573057849019528, primal_obj=0.9573057849019527
[Iter 0] scenario=10, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0194s, status=time_limit, dual_bound=0.9652324418112033, primal_obj=0.9652324418112034
[Iter 0] scenario=11, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0797s, status=time_limit, dual_bound=1.0376538578449814, primal_obj=1.0376538578449819
[Iter 0] scenario=12, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0155s, status=time_limit, dual_bound=0.9524420351110123, primal_obj=0.9524420351110121
[Iter 0] scenario=13, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0176s, status=time_limit, dual_bound=0.9790994988856474, primal_obj=0.9790994988856473
[Iter 0] scenario=14, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0468s, status=time_limit, dual_bound=0.9960731589292047, primal_obj=0.9960731589292049
[Iter 0] scenario=15, simplex_idx=3, verts=(3, 4, 6, 7), time=3.1660s, status=time_limit, dual_bound=1.0781156565461407, primal_obj=1.078115656546141
[Iter 0] scenario=16, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0202s, status=time_limit, dual_bound=0.9555505146203404, primal_obj=0.9555505146203405
[Iter 0] scenario=17, simplex_idx=3, verts=(3, 4, 6, 7), time=3.0737s, status=time_limit, dual_bound=0.9551766221318504, primal_obj=0.9551766221318506
[Iter 0] scenario=19, simplex_idx=3, verts=(3, 4, 6, 7), time=3.2782s, status=time_limit, dual_bound=0.9483957106473886, primal_obj=0.9483957106473888
[Iter 0] scenario=0, simplex_idx=4, verts=(2, 3, 4, 6), time=3.0087s, status=time_limit, dual_bound=1.0036833608632059, primal_obj=1.003683360863206
[Iter 0] scenario=1, simplex_idx=4, verts=(2, 3, 4, 6), time=3.0096s, status=time_limit, dual_bound=0.9479505676776365, primal_obj=0.9479505676776365
[Iter 0] scenario=5, simplex_idx=4, verts=(2, 3, 4, 6), time=3.0639s, status=time_limit, dual_bound=0.9439996079723312, primal_obj=0.9439996079723316
[Iter 0] scenario=17, simplex_idx=4, verts=(2, 3, 4, 6), time=3.0476s, status=time_limit, dual_bound=0.9550816076390942, primal_obj=0.9550816076390944
[Iter 0] scenario=1, simplex_idx=5, verts=(1, 3, 4, 5), time=3.0128s, status=time_limit, dual_bound=0.945342790927339, primal_obj=0.9453427909273387
[Iter 0] scenario=2, simplex_idx=5, verts=(1, 3, 4, 5), time=3.0167s, status=time_limit, dual_bound=0.9565284985867902, primal_obj=0.9565284985867903
[Iter 0] scenario=5, simplex_idx=5, verts=(1, 3, 4, 5), time=3.0848s, status=time_limit, dual_bound=0.9429414464563031, primal_obj=0.9429414464563027
[Iter 0] scenario=12, simplex_idx=5, verts=(1, 3, 4, 5), time=3.0306s, status=time_limit, dual_bound=0.9521065442375202, primal_obj=0.9521065442375202
