Time (s),Nodes Explored,Pruned by,Bound Update,LB,UB,Rel. Gap,Abs. Gap,# Nodes
3208.008,               1  ,                  ,       * U   ,     0.97278823  ,    0.97586654   ,      0.3154%    ,    0.003078      ,         2
7410.12,               2    ,                  ,     * U   ,    0.97278823    ,  0.97586654     ,    0.3154%      ,  0.003078        ,       3
11715.226,               3   ,                  ,           ,      0.97345686 ,     0.97586654  ,       0.2469%   ,      0.00241     ,          4
15745.591,               4   ,                  ,      * U   ,     0.97345686 ,     0.97586654  ,       0.2469%   ,      0.00241     ,          5
18537.736,               5   ,        Bound     ,      * L    ,    0.97415098 ,     0.97586654  ,       0.1758%   ,     0.001716     ,          4
18733.597,               6    ,                 ,      * U   ,     0.97415098 ,     0.97586654  ,       0.1758%   ,     0.001716     ,          5
23376.673,               7   ,                 ,             ,     0.97415098 ,     0.97586654  ,       0.1758%   ,     0.002421     ,          6
25231.718,               8   ,        Bound   ,              ,     0.97415098 ,     0.97586654  ,       0.1758%   ,     0.002421     ,          5
30145.087,               9   ,        Bound    ,       * L   ,     0.97465438  ,    0.97586654  ,       0.1242%   ,     0.001212     ,          4
33583.288,              10   ,        Bound   ,             ,     0.97465438  ,    0.97586654   ,      0.1242%    ,    0.001212      ,         3
37906.587,              11   ,                  ,            ,     0.97524053  ,    0.97586654   ,      0.0641%   ,     0.000626     ,          4
