Time (s),# Nodes,LB,UB,Rel. Gap,Abs. Gap,best_LB_ever,best_UB_ever,LB_in_split,UB_in_split
122.380,32,-4235.042670446,-4232.491139645,0.0602844%,2.55153,-4235.042670446,-4232.491139645,INSIDE,INSIDE
165.705,33,-4235.006496664,-4232.491139645,0.0594297%,2.51536,-4235.006496664,-4232.491139645,INSIDE,INSIDE
181.384,34,-4235.334127545,-4232.491139645,0.0671706%,2.84299,-4235.006496664,-4232.491139645,INSIDE,INSIDE
198.606,35,-4235.748474351,-4232.491139645,0.0769602%,3.25733,-4235.006496664,-4232.491139645,INSIDE,INSIDE
221.349,36,-4235.338603546,-4232.491139645,0.0672763%,2.84746,-4235.006496664,-4232.491139645,INSIDE,INSIDE
242.277,37,-4234.939845331,-4232.491139645,0.0578550%,2.44871,-4234.939845331,-4232.491139645,OUTSIDE,INSIDE
257.831,38,-4235.331659181,-4232.491139645,0.0671122%,2.84052,-4234.939845331,-4232.491139645,INSIDE,INSIDE
275.757,39,-4235.017979014,-4232.491139645,0.0597010%,2.52684,-4234.939845331,-4232.491139645,OUTSIDE,INSIDE
295.072,40,-4234.944894346,-4232.491139645,0.0579742%,2.45375,-4234.939845331,-4232.491139645,INSIDE,INSIDE
