# debug_ms_timing.txt — NON-OPTIMAL MS (ms_on_tetra) solves only
# Format: [Iter N] scenario=..., simplex_idx=..., verts=..., time=...s, status=..., dual_bound=..., primal_obj=...

[Iter 60] scenario=3, simplex_idx=184, verts=(1, 65, 67, 68), time=0.0172s, status=infeasible, dual_bound=None, primal_obj=-2.833444590066847e-11
[Iter 60] scenario=8, simplex_idx=184, verts=(1, 65, 67, 68), time=0.0248s, status=infeasible, dual_bound=None, primal_obj=-7.675589151601159e-06
[Iter 63] scenario=0, simplex_idx=196, verts=(1, 12, 64, 71), time=0.2016s, status=infeasible, dual_bound=None, primal_obj=-5059318606.9099455
[Iter 63] scenario=6, simplex_idx=196, verts=(1, 12, 64, 71), time=0.0182s, status=infeasible, dual_bound=None, primal_obj=-5067333994.569899
[Iter 63] scenario=8, simplex_idx=196, verts=(1, 12, 64, 71), time=0.0174s, status=infeasible, dual_bound=None, primal_obj=-0.0020142459369347776
[Iter 64] scenario=2, simplex_idx=198, verts=(0, 1, 71, 72), time=0.0254s, status=infeasible, dual_bound=None, primal_obj=-1.302961811444625e-06
[Iter 64] scenario=7, simplex_idx=198, verts=(0, 1, 71, 72), time=0.0973s, status=infeasible, dual_bound=None, primal_obj=-1.256654507120203e-07
[Iter 64] scenario=8, simplex_idx=199, verts=(1, 64, 71, 72), time=0.0169s, status=infeasible, dual_bound=None, primal_obj=-0.0041201179178553815
[Iter 65] scenario=4, simplex_idx=199, verts=(0, 1, 72, 73), time=0.1297s, status=infeasible, dual_bound=None, primal_obj=-6.4568571600531754e-09
[Iter 65] scenario=5, simplex_idx=199, verts=(0, 1, 72, 73), time=0.0203s, status=infeasible, dual_bound=None, primal_obj=-3.6075958886883086e-09
[Iter 65] scenario=6, simplex_idx=199, verts=(0, 1, 72, 73), time=0.1370s, status=infeasible, dual_bound=None, primal_obj=-91492074.25330974
[Iter 65] scenario=2, simplex_idx=201, verts=(0, 1, 71, 73), time=0.0196s, status=infeasible, dual_bound=None, primal_obj=-1.7951141354499711e-06
[Iter 65] scenario=7, simplex_idx=202, verts=(1, 71, 72, 73), time=0.0203s, status=infeasible, dual_bound=None, primal_obj=-5046674138.433399
